#,Date,Hash,Author,Message,Phase
73,2026-05-31,ad273e3,Kirllos Hany,"tools: install njsscan, codespell, snyk into test-agent + fix typo",Security
74,2026-05-31,dcf2ef4,Kirllos Hany,"fix: revert NestJS v11->v10, revert Jest v28->v29, restore 373/373 tests",Phase 3
75,2026-05-31,4b103ef,Kirllos Hany,"ci: add test-agent workflow — runs all 15+ tools on every push",CI
76,2026-05-31,0926b76,Kirllos Hany,"fix: test-agent workflow YAML syntax + add check-graph.py script",CI
77,2026-05-31,c0ea00c,Kirllos Hany,"fix: lockfile regen — all NestJS v10, all tests 373/373",Phase 3
78,2026-05-31,d22a45e,Kirllos Hany,"fix: replace prisma validate with prisma generate (no DB in CI)",CI
79,2026-05-31,213eb7e,Kirllos Hany,"fix: add PostgreSQL service + migrate to test-agent workflow",CI
80,2026-05-31,31fbf86,Kirllos Hany,"fix: use postgres user for CI PostgreSQL service",CI
81,2026-05-31,7af3c2a,Kirllos Hany,"fix: pg_isready healthcheck quoting",CI
82,2026-05-31,066dd1f,Kirllos Hany,"fix: use correct spectral package name",CI
83,2026-05-31,25b9b3e,Kirllos Hany,"fix: add bun setup for frontend build in CI",CI
84,2026-05-31,d324ea4,Kirllos Hany,"fix: remove graphify pip install, add continue-on-error for codeql",CI
85,2026-05-31,d5df8a5,Kirllos Hany,"fix: remove graphify job from CI (build artifacts)",CI
86,2026-05-31,2a80c54,Kirllos Hany,"docs: add SECURITY.md with vulnerability reporting policy",Security
87,2026-06-01,75f7b68,Kirllos Hany,"fix: RCA deep scan fixes + T061-T065 billing implementation",Phase 3
88,2026-06-01,1f93b0d,Kirllos Hany,"fix: CI workflow failures — husky prepare script + SBOM deps + Trivy SARIF guard",CI
89,2026-06-01,a708827,Kirllos Hany,"fix: CI workflow — prisma validate needs DATABASE_URL, SBOM peer dep issues, SARIF upload permissions",CI
90,2026-06-01,3b18d30,Kirllos Hany,"fix: CI backend — DatabaseService reads DB_USER/DB_PASSWORD from ConfigService (not DATABASE_URL)",CI
91,2026-06-01,4f1f4f0,Kirllos Hany,"fix: CI backend — create .env file in CI for ConfigService compatibility",CI
92,2026-06-01,ccbaa7a,Kirllos Hany,"fix: CI backend — create sim_system schema before tests",CI
93,2026-06-01,95ea349,Kirllos Hany,"fix: CI backend — run prisma migrate deploy for integration tests",CI
